000034d8,36,"「じゃあね～、だっつん。まったね～」","Well, that's it. I'm sorry.","Ну, вот и все. Мне очень жаль.",""
00003560,16,"「ああ、またな」","Oh, see you again","О, увидимся снова",""
000001e4,72,"（う～ん、どこを撮ろう？
　だだっ広くて、
　どう撮ればいいのか悩むな…）","(Hmm, where should I shoot?
It's wide,
Don't worry about how to shoot …)","(Хм, куда мне стрелять?
Он широкий,
Не парься как стрелять…)",""
000002b0,57,"（あかね色に染まった雲を、
　うまくファインダーの中に…）","(Clouds dyed in red
Well in the finder …)","(Облака окрашены в красный цвет
Ну в находке…)",""
000005dc,76,"「何だとはずいぶんだなぁ。
　何度も呼んだんだぞ、
　だっつん、だっつんって」","What is it?
I called you many times,
Datsun, Datsun","Что это?
Я звонил тебе много раз,
Датсун, Датсун",""
000007c4,53,"「いやいや、こっちこそ悪かったよ、
　邪魔しちゃって」","No, this was bad,
I got in the way ","«Нет, это было плохо,
Я помешал»",""
000008e0,49,"「…その前に、そのだっつんっての
　やめてくれよ」","… Before that, that was it
 Please stop","… До этого так и было
 Пожалуйста остановись",""
00000b3c,47,"「呼ばれ慣れない俺の気持ちは
　どうなるんだ？」","My feelings that I'm not used to being called
What will happen? ","«Мои чувства, что я не привык, чтобы меня называли
Что случится? ",""
00000bbc,55,"「え～っ、中学から呼ばれてるのに、
　まだ慣れないの？」","Well, even though I was called by junior high school
Are you still not used to it? ","«Ну, хоть меня и назвали в средней школе
Вы еще не привыкли? ",""
00000e38,85,"「あーあ、幼なじみのくせに、新見さんなんて
　言っちゃって～。よっそよそしいんだから」","Ah, even though I'm a childhood friend, Mr. Niimi
Tell me ~. Because it's unfriendly. ","«Ах, хоть я и друг детства, мистер Ниими
Скажи мне ~. Потому что это недружелюбно».",""
00000f94,65,"「そんなんじゃ誰かに取られちゃうぞっ。
　はるるはモテるんだから」","That's why someone will take it.
Haruru is popular. ","Вот почему кто-то возьмет это.
Харуру популярен».",""
000010b8,55,"「はるるって呼んでみれば？
　特別に使用許可出したげる」","Why don't you call me Haruru?
Special permission to use is issued 」","— Почему ты не называешь меня Харуру?
Выдано специальное разрешение на использование 」",""
000011c4,86,"「そっかなぁ。やっぱ、２人の距離を
　縮めるなら、愛称で呼び合うのが
　一番じゃない？」","That's right. After all, the distance between the two
If you want to shorten it, it ’s better to call it by nickname.
Isn't it the best? ","Правильно. В конце концов, расстояние между двумя
Если хотите сократить, то лучше называть по прозвищу.
Разве это не лучшее? ",""
00001428,65,"「で、だっつんじゃなければ、
　どう呼んで欲しいわけ？　エレキ？」","And if it's not,
How do you want me to call you? Electric? ","«А если нет,
Как ты хочешь, чтобы я тебя называл? Электрический? ",""
000014e0,108,"「エレキって…それも、中学の時に
　お前が付けたあだ名じゃないか。
　ちょっと俺がギターをかじったからって…」","Electric … that was when I was in junior high school
Isn't it the nickname you gave it?
Because I bit the guitar for a moment … 」","«Электрик… это было, когда я учился в средней школе.
Разве это не прозвище, которое вы ему дали?
Потому что я на мгновение прикусил гитару… 」",""
0000158c,65,"「そうそう。あれはあきらめるの
　早かったよね～。３週間ぐらい？」","Yeah. That's giving up
It was early ~. About 3 weeks? ","«Да. Это отказ от
Было рано ~. Около 3 недель? ",""
00001744,94,"「外国人かよ！　って、それも、
　お前につけられたあだ名だ！
　俺がビリヤードにはまった時に…」","Is it a foreigner!
It's the nickname given to you!
When I got stuck in billiards … ","«Это иностранец!
Это твой никнейм!
Когда я застрял в бильярде…»",""
000017dc,100,"「あんときはすごかったよね～。
　ハスラー気取りで、キューを構えて、
　“見えた！”とか言っちゃって」","It was amazing at that time.
Hustler-like, holding a cue,
I saw it!","«В то время это было потрясающе.
Шустрый, держащий кий,
Я видел это!",""
00001904,116,"「あのなぁ、おまえがビリヤード場で
　ビリー、ビリー、言いまくったおかげで、
　恥ずかしくて行けなくなったんだからな」","Well, you're in the billiard hall
Billy, Billy, thanks to all the words
I was so embarrassed that I couldn't go. ","Ну ты же в бильярдном зале
Билли, Билли, спасибо за все слова
Я был так смущен, что не мог пойти».",""
000019b8,51,"「またぁ、自分が飽きっぽいのを
　私のせいにしてぇ」","See you, I'm tired of it
It ’s my fault. ”","«Увидимся, я устал от этого
Это моя вина. ",""
00001ac8,84,"「結局、だっつんがぴったりって
　ことじゃない？
　あのマイダーツ、まだ持ってんの？」","In the end, it ’s just right.
Isn't that the case?
Do you still have that my darts? ","В конце концов, это правильно.
Разве это не так?
У тебя все еще есть мои дротики? ",""
00001de8,114,"「みんなでボーリングやったあと、
　ダーツでもやるかってなった時、おもむろに
　バッグからマイダーツを取り出して…」","After bowling together,
When it was decided to play darts, it was a matter of course
Take out my darts from the bag … ","«После совместной игры в боулинг
Когда было принято решение играть в дартс, это было само собой разумеющимся
Достань мои дротики из сумки…",""
00001ec8,96,"「あそこのボーリング場はダーツもあるから、
　もしかしたらやるかもと思って
　持って行ったんだよ」","There are darts in the bowling alley over there, so
I thought I might do it
I took it with me. ","Потому что в боулинге есть дартс,
Я думал, что могу это сделать
Я взял его с собой».",""
00001f88,47,"「その前に、普通、
　マイダーツ持ってないから」","Before that, usually
I don't have my darts ","«До этого обычно
У меня нет дартс",""
0000202c,49,"「そんなことないぞ。
　結構、持ってるヤツはいる」","That's not true.
There are quite a few people who have it. ","Это не правда.
Есть довольно много людей, у которых это есть».",""
000020b0,57,"「あの場にいた８人では、
　誰も持ってなかったんだよね～」","With the eight people who were there,
Nobody had it ~ 」","«С восемью людьми, которые были там,
Ни у кого не было ~ 」",""
0000226c,114,"「みんながダーツをレンタルしてるときに、
　１人だけゴルゴ何とかみたいな目で、
　マイダーツを組み立ててるんだもん」","When everyone rents darts,
Only one person looks like Golgo somehow,
I'm assembling my darts ","«Когда все берут дартс напрокат,
Только один человек чем-то похож на Голго,
Я собираю свои дротики",""
00002384,114,"「後ろの羽を差し込みながら、“角度よし！”
　とか言っちゃって～。笑いすぎて、
　どうにかなっちゃうかと思ったよ～」","While inserting the wings behind, the angle is good! ”
I said something like that. Laughter too much
I was wondering if something would happen ~ 」","При вставке крыльев сзади ракурс хороший! ”
Я сказал что-то в этом роде. Смех слишком много
Мне было интересно, произойдет ли что-нибудь ~ 」",""
00002498,51,"「で、めでたく“だっつん”の名を
　拝領したわけだ」","So, congratulations on the name of Datsun 
That's why I received it. ","«Итак, поздравляю с именем «Датсун»
Вот почему я получил его».",""
0000269c,61,"「で、その肩にぶら下がってる物は何？
　新しい趣味ってわけ？」","So what's hanging on that shoulder?
What is your new hobby? ","Так что же висит на этом плече?
Какое у тебя новое хобби? ",""
00002744,61,"「ああ。父さんが新しいのを買ったので、
　お下がりをもらった」","Oh. My dad bought a new one,
I got a drop. ","О. Мой папа купил новый,
Я получил капельку».",""
000028fc,49,"「けど、肝心なものを
　撮り忘れてるんじゃない？」","But the important thing
Didn't you forget to take it? ","«Но что важно
Не забыл взять? ",""
000029c4,51,"「ソフトボールに青春をかける、
　健康優良美少女を」","Put youth on softball,
Beautiful girl with excellent health","«Поставь молодежь на софтбол,
«Красивая девушка с отменным здоровьем»",""
00002be8,90,"「もーっ、遠慮しちゃってっ！
　ほらほら遠慮せずに撮った撮ったぁ！
　今なら撮り放題だよぉ」","Well, please refrain!
Look, I took it without hesitation!
Now you can shoot as much as you want. ","«Ну, пожалуйста, воздержитесь!
Смотри, я взял его не раздумывая!
Теперь вы можете стрелять сколько угодно».",""
00003388,47,"「おい、そろそろ部活へ行かなくて
　いいのか？」","Hey, I haven't been to club activities soon
Is it okay? ","«Эй, я скоро не был на клубных мероприятиях
Это нормально? ",""
00003660,61,"（誰かに取られちゃうぞ、か。
　…わかってるよ、そんなことは）","(Someone will take it, right?
… I know that)","(Кто-то возьмет, да?
… я знаю, что-то в этом роде)",""
