00000148,38,"教室のあちこちに、人の輪ができている。","There are circles of people around the classroom.","Вокруг класса стоят кружки людей.","Um den Klassenraum bilden sich Kreise von Menschen."
000006f8,114,"「そこは日焼け止めで完全ブロック。
　あんまり焼かないようにしてるから。
　毎日テニスしてるとすぐ黒くなっちゃうし」","There is a sunscreen and a complete block.
I try not to bake too much.
If you play tennis every day, it will turn black immediately. ","«Есть солнцезащитный крем и полная блокировка.
Стараюсь много не печь.
Если играть в теннис каждый день, он сразу почернеет».","Es gibt einen Sonnenschutz und einen kompletten Block.
Ich versuche, nicht zu viel zu backen.
Wenn du jeden Tag Tennis spielst, wird es sofort schwarz.“"
000008ac,61,"「顔面真っ黒で商店街うろつく遙佳なんて、
　想像つかないから」","Haruka, who has a black face and wanders around the shopping street,
I can't imagine it. ","Харука, у которой черное лицо и которая бродит по торговой улице,
Я не могу этого представить».","Haruka, die ein schwarzes Gesicht hat und durch die Einkaufsstraße irrt,
Ich kann es mir nicht vorstellen."
00000a68,79,"俺が姿を捜していた女子…新見遙佳は、登校するなり
大勢の生徒に取り囲まれていた。","The girl I was looking for … Haruka Niimi, as soon as she went to school
I was surrounded by a lot of students.","Девушка, которую я искал… Харука Ниими, как только она пошла в школу
Меня окружало много студентов.","Das Mädchen, nach dem ich gesucht habe … Haruka Niimi, sobald sie zur Schule ging
Ich war von vielen Studenten umgeben."
00000ae4,94,"明るい性格で、成績優秀。
テニス部のエースで、クラスの人気者。
憧れてる男子は数知れないらしい。","He has a cheerful personality and excellent grades.
The ace of the tennis club, a popular person in the class.
It seems that there are countless boys who are longing for it.","У него жизнерадостный характер и отличные оценки.
Ас теннисного клуба, популярная личность в классе.
Кажется, что есть бесчисленное множество мальчиков, которые жаждут этого.","Er hat eine fröhliche Persönlichkeit und hervorragende Noten.
Das Ass des Tennisclubs, eine beliebte Person in der Klasse.
Es scheint, dass es unzählige Jungen gibt, die sich danach sehnen."
00000b70,136,"小さいころは、肌が日に焼けることなんか気にせず、
俺と一緒に真っ黒になりながら、公園を走り回ったり、
プールではしゃいだりしたもんだが…。","When I was little, I didn't care about my skin getting sunburned
Running around the park while getting black with me
I was flirting in the pool …","Когда я был маленьким, мне было все равно, что моя кожа обгорает на солнце.
Бегать по парку, становясь черным со мной.
Я флиртовала в бассейне…","Als ich klein war, war es mir egal, ob meine Haut einen Sonnenbrand bekam
Durch den Park rennen und dabei schwarz werden mit mir
Ich habe im Pool geflirtet …"
00000c28,61,"中学に入り、高校に入り…彼女はどんどんきれいに
なっていった。","Entering junior high school, entering high school … she is getting better and better
It became.","Поступление в среднюю школу, поступление в среднюю школу … она становится все лучше и лучше
Стало.","Der Eintritt in die Junior High School, der Eintritt in die High School … sie wird immer besser
Es wurde."
00000c94,144,"残念なことに俺は、イケメンになったとか、成績が
トップになったとか、４番でエースになったとか、
エースストライカーになったとか、そういうこともなく","Unfortunately, I've become a good-looking guy, and my grades are
I got to the top, I got an ace at No. 4,
I didn't become an ace striker or anything like that","К сожалению, я стал красивым парнем, и мои оценки
Я добрался до вершины, у меня туз под номером 4,
Я не стал первоклассным нападающим или кем-то в этом роде.","Leider bin ich ein gutaussehender Typ geworden, und meine Noten sind es auch
Ich bin an die Spitze gekommen, ich habe ein Ass auf Platz 4,
Ich bin kein Stürmer-Ass oder so geworden"
00000d54,100,"近所に住んでるってだけで、周りの男子に
やっかまれたり、手紙を渡してくれと
頼まれたりするだけの存在。","Just because you live in the neighborhood
Being bitten or handing me a letter
Existence that is only asked.","Просто потому, что ты живешь по соседству
Быть укушенным или передать мне письмо
Существование, о котором только просят.","Nur weil du in der Nachbarschaft wohnst
Gebissen werden oder mir einen Brief geben
Existenz, die nur gefragt wird."
00000de8,96,"正直、対処に困ることばかりが積み重なり、
いつしか俺と彼女の間には、微妙な距離感が
生まれていた。","To be honest, all the troubles to deal with are piled up,
Someday there is a subtle sense of distance between me and her
I was born.","Если честно, то накопились все беды, с которыми нужно разобраться,
Когда-нибудь между мной и ней возникнет тонкое чувство расстояния
Я был рожден.","Um ehrlich zu sein, häufen sich alle Probleme, mit denen man fertig werden muss,
Eines Tages gibt es eine subtile Distanz zwischen mir und ihr
Ich wurde geboren."
000012c4,102,"果音は彼女と同じテニス部に所属している。
姉妹同然で育ったってのもあるけど、
果音は彼女に憧れてるんだ。","Kaon belongs to the same tennis club as her.
I grew up like a sister, but
Kaon is longing for her.","Каон состоит в том же теннисном клубе, что и она.
Я выросла как сестра, но
Каон тоскует по ней.","Kaon gehört demselben Tennisclub an wie sie.
Ich bin wie eine Schwester aufgewachsen, aber
Kaon sehnt sich nach ihr."
00001428,65,"「あ？　ああ、親父が新しいのを買うから
　そのお下がりをもらった」","Ah? Oh, my dad buys a new one.
I got that drop. ","«А? О, мой папа покупает новый.
Я получил эту каплю».","„Ah? Oh, mein Dad kauft einen neuen.
Ich habe diesen Tropfen.“"
000014b8,61,"「へ～っ、すっごーい、本格的。
　プロの人が使うカメラみたい」","Hey, awesome, full-scale.
It looks like a camera used by professionals. ","Эй, круто, полномасштабно.
Это похоже на камеру, которую используют профессионалы».","„Hey, großartig, in voller Größe.
Es sieht aus wie eine Kamera, die von Profis verwendet wird.“"
00001574,96,"「昨日、果音を撮ったんだけど、思った以上に
　うまく撮れたから、いろいろ撮ってみようと
　思って」","I took a fruit sound yesterday, but more than I expected.
Because I was able to shoot well, I tried to shoot various things
 I thought to","«Вчера я взял фруктовый звук, но больше, чем ожидал.
Поскольку я умел хорошо стрелять, я пытался снимать разные вещи.
я думал ","„Ich habe gestern einen Fruchtton genommen, aber mehr als ich erwartet hatte.
Weil ich gut schießen konnte, habe ich versucht, verschiedene Dinge zu schießen
ich dachte an"
00001614,47,"「そっか…。じゃあ、今度
　私も撮ってくれる？」","I see … Then, this time
Can you take me too? ","Понятно… Тогда, на этот раз
Ты можешь взять меня тоже? ","„Ich verstehe … Dann, diesmal
Kannst du mich auch mitnehmen? "
00001b64,97,"久しぶりに会った新見遙佳は、夏休みの前と同じく
明るくて、優しくて、みんなに声をかけて回っている。","Haruka Niimi, who I met after a long time, is the same as before the summer vacation
It's bright, kind, and talking to everyone.","Харука Ниими, с которой я познакомился спустя долгое время, такая же, как и до летних каникул.
Он светлый, добрый и общительный со всеми.","Haruka Niimi, den ich nach langer Zeit wieder getroffen habe, ist derselbe wie vor den Sommerferien
Es ist hell, freundlich und spricht jeden an."
00001bf4,134,"そんな彼女を見ながら俺は、果音と一緒になどと言わず
彼女だけをファインダーに納めて、はっとするような
写真を見せたい…などと思っていた。","Looking at her, I didn't say with Kaon
Putting only her in the finder, it's amazing
I wanted to show you a photo … etc.","Глядя на нее, я не сказал с Каоном
Поместить только ее в искатель, это потрясающе
Я хотел показать вам фото … и т.д.","Als ich sie ansah, sagte ich nicht mit Kaon
Nur sie in den Finder zu setzen, ist erstaunlich
Ich wollte dir ein Foto zeigen … etc."
00000f5c,22,"「おはよう、\p01くん」","","",""
000011c4,102,"「かのちゃんとは、ほとんど毎日、
　部活で会えてたんだけど、\p01くんとは
　ちっとも会えなかったから…」","","",""
